Unnamed: 0,Total Bwd packets,Total Fwd Packet,Total Length of Bwd Packet,Total Length of Fwd Packet,Flow Duration
0,0,8,0,0,10
1,0,9,0,0,10
2,0,231,0,0,119719148
3,0,4,0,0,84524
4,0,18,0,504,98644
5,42,38,2508,2224,83068408
6,2,2,262,162,292
7,2,2,262,162,293
8,2,2,96,64,179
9,2,2,96,64,180
10,2,2,326,328,157
11,2,2,326,414,167
12,14,26,1784,1664,56361391
13,18,24,2672,3678,26361181
14,18,25,2396,7458,10899510
15,8,8,414,466,709
16,8,10,3064,626,972
17,10,10,3036,3104,1242
18,8,8,2820,2794,755
19,2,2,242,142,241
20,2,2,326,328,144
21,13,14,5688,4130,18379
22,10,10,3048,3130,1228
23,1,1,110,53,30622
24,0,18,0,756,421013
25,0,18,0,1620,420880
26,0,18,0,1620,420854
27,0,3,0,150,2998772
28,0,18,0,1620,420701
29,0,18,0,1620,420566
30,0,18,0,774,420460
31,0,3,0,0,2998880
32,2,2,212,80,310
33,2,2,206,206,766
34,2,2,240,86,202
35,2,2,252,252,617
36,8,8,356,440,903
37,8,10,2942,600,966
38,8,8,2780,2730,1246
39,6,6,582,216,3985073
40,6,6,570,204,4657239
41,0,150,0,28374,65543817
42,6,6,288,288,65511209
43,0,2,0,0,48
44,0,18,0,432,96926
45,0,19,0,855,421138
46,18,25,2396,7458,14643236
47,36,42,6180,12200,66026268
48,8,8,414,466,711
49,8,10,3064,624,1020
50,10,10,3048,3130,967
51,2,2,386,82,61818
52,1,1,167,58,61222
53,3,5,241,286,60122371
54,0,207,0,10350,13150737
55,15,18,9232,5508,6128404
56,10,10,3000,3082,1072
57,14,14,1020,4104,77100
58,8,8,2836,2796,1151
59,10,9,258,4930,804
60,2,2,280,68,61275
61,1,1,121,59,60691
62,34,45,6682,10156,25217512
63,10,10,3036,3104,1180
64,8,8,2820,2794,660
65,2,2,280,68,61019
66,1,1,121,59,60460
67,5,5,179,97,60574
68,2,2,222,70,31055
69,1,1,113,49,30627
70,10,10,2972,3054,1115
71,14,16,3970,4814,519337
72,14,14,1020,4076,3554
73,24,31,2600,8258,13399240
74,2,2,202,102,257
75,2,2,326,328,140
76,0,2,0,360,4
77,14,22,1784,1528,13260002
78,22,26,2234,1958,13230370
79,2,2,202,102,227
80,2,2,326,328,149
81,0,11,0,704,16
82,0,267,0,20447,113976922
83,2,2,132,68,31059
84,2,2,190,68,348
85,1,1,77,45,30542
86,2,2,196,46,845
87,1,1,109,34,441
88,2,2,196,46,171
89,2,2,132,68,230
90,2,2,190,68,286
91,0,6,0,300,3014981
92,0,6,0,0,3014984
93,0,22,0,924,421039
94,0,22,0,968,420984
95,2,2,132,68,263
96,2,2,190,68,322
97,2,2,268,70,61319
98,1,1,114,50,60763
99,2,2,268,70,207
