Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,10,8,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,799999.9999999999,1.4285714285714286,1.1338934190276817,4,1,10,1.4285714285714286,1.1338934190276817,4,1,0,0.0,0.0,0,0,0,0,0,0,0,0,160,0,799999.9999999999,0.0,0,0,0.0,0.0,0.0,8,0,0,0,8,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,329,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0
6,10,9,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,899999.9999999999,1.25,0.7071067811865476,3,1,10,1.25,0.7071067811865476,3,1,0,0.0,0.0,0,0,0,0,0,0,0,0,180,0,899999.9999999999,0.0,0,0,0.0,0.0,0.0,9,0,0,0,9,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,245,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0
0,119719148,231,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.929515903337368,520518.0347826088,2274525.810436889,20694308,0,119719148,520518.0347826088,2274525.810436889,20694308,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.929515903337368,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8721243.6,8761761.258056784,22509459,17,12685486.0,5296658.0964223845,20694308,6499982
0,84524,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47.32383701670531,28174.666666666668,47673.19587916604,83220,160,84524,28174.666666666668,47673.19587916604,83220,160,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,47.32383701670531,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
17,98644,18,0,504,0,28,28,28.0,0.0,0,0,0.0,0.0,5109.28186204939,182.47435221604965,5802.588235294119,23918.241866979963,98619,1,98644,5802.588235294119,23918.241866979963,98619,1,0,0.0,0.0,0,0,0,0,0,0,0,0,144,0,182.47435221604965,0.0,28,28,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,28.0,28.0,0.0,504,18,5109,0,0,0,1,28,0,0,0,0,17,8,0.0,0.0,0,0,0.0,0.0,0,0
17,83068408,38,42,2224,2508,68,50,58.52631578947369,9.108169312321008,62,56,59.71428571428573,2.9490446099539165,56.96509797081942,0.9630616732175726,1051498.835443038,5971943.498117493,50778435,1,83068326,2245089.8918918907,8632610.536508553,50778573,1,83068177,2026053.0975609752,8217162.732054506,50778563,1,0,0,0,0,0,0,304,336,0.457454294778347,0.5056073784392257,50,68,59.15,6.612416398935523,43.72405063291144,0,0,0,0,0,0,0,0,1.105263157894737,59.15,58.526315789473685,59.71428571428572,408,6,6181818,281,4,14842,0,27,0,31,0,0,37,8,8188471.0,9455965.036539529,14874848,1502094,33333466.5,24670911.04787143,50778435,15888498
17,292,2,2,162,262,81,81,81.0,0.0,131,131,131.0,0.0,1452054.794520548,13698.6301369863,97.33333333333334,163.39012618066408,286,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,6849.315068493151,6849.315068493151,81,131,106.0,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,106.0,81.0,131.0,0,0,0,0,0,0,0,40,0,65,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0
17,293,2,2,162,262,81,81,81.0,0.0,131,131,131.0,0.0,1447098.9761092148,13651.8771331058,97.66666666666669,85.1606325324873,196,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,0,0,16,16,6825.938566552901,6825.938566552901,81,131,106.0,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,106.0,81.0,131.0,0,0,0,0,0,0,0,40,0,65,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0
17,179,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,893854.748603352,22346.3687150838,59.66666666666667,97.28480525412655,172,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,11173.1843575419,11173.1843575419,32,48,40.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,40.0,32.0,48.0,0,0,0,0,0,0,0,16,0,24,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0
17,180,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,888888.8888888889,22222.222222222223,60.0,100.45894683899488,176,2,2,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0,0,0,0,0,16,16,11111.111111111111,11111.111111111111,32,48,40.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,40.0,32.0,48.0,0,0,0,0,0,0,0,16,0,24,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0
17,157,2,2,328,326,164,164,164.0,0.0,163,163,163.0,0.0,4165605.095541401,25477.707006369423,52.33333333333333,84.58329228242026,150,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,12738.853503184711,12738.853503184711,163,164,163.5,0.577350269189623,0.3333333333333301,0,0,0,0,0,0,0,0,1.0,163.5,164.0,163.0,0,0,0,0,0,0,0,82,0,81,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0
17,167,2,2,414,326,207,207,207.0,0.0,163,163,163.0,0.0,4431137.724550898,23952.09580838324,55.66666666666667,93.82075108062892,164,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,0,0,16,16,11976.047904191617,11976.047904191617,163,207,185.0,25.40341184434353,645.3333333333334,0,0,0,0,0,0,0,0,1.0,185.0,207.0,163.0,0,0,0,0,0,0,0,103,0,81,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0
6,56361391,26,14,1664,1784,168,0,64.0,82.58232256360922,268,0,127.42857142857144,94.92808151090308,61.176630647742535,0.7097056919691709,1445163.8717948718,4818075.673307961,21449915,1,56361391,2254455.64,5903791.207276423,21449915,1,56361259,4335481.461538461,7865319.560608527,21667720,3,10,10,0,0,0,0,544,304,0.4613086997799611,0.2483969921892098,0,268,86.2,91.18231947376302,8314.215384615381,4,4,0,20,38,0,0,0,0.5384615384615384,86.2,64.0,127.42857142857144,0,0,0,0,0,0,0,41,0,44,8192,2050,10,20,207609.25,8399.796004467411,217990,200187,13882702.5,8010167.636216215,21449915,6367360
6,26361181,24,18,3678,2672,936,0,153.25,258.17187567840216,952,0,148.44444444444446,295.6655945335028,240.8845036191664,1.5932518349614155,642955.6341463415,3915077.269894656,25084797,0,26361181,1146138.3043478262,5221672.722656848,25084797,1,26361052,1550650.117647059,6123667.86824264,25292850,0,12,12,0,0,0,0,504,384,0.9104296199779516,0.6828222149834638,0,952,151.1904761904762,271.3722345104273,73642.88966318233,4,4,0,24,40,0,0,0,0.75,151.1904761904762,153.25,148.44444444444446,0,0,0,0,0,0,0,87,0,63,8192,2053,12,20,1276252.0,0.0,1276252,1276252,25084797.0,0.0,25084797,25084797
6,10899510,25,18,7458,2396,3072,0,298.3199999999999,709.9794433643837,260,0,133.11111111111111,105.719322564036,904.0773392565354,3.9451314783875606,259512.1428571428,1636148.5896994926,10608218,1,10899510,454146.25000000006,2163279.946473355,10608218,1,10899214,641130.2352941176,2622955.178630978,10819434,1,14,14,0,0,2,0,524,384,2.293681092085792,1.6514503863017695,0,3072,229.16279069767432,547.1427049087686,299365.13953488384,0,4,2,28,41,0,0,0,0.72,229.1627906976744,298.32,133.11111111111111,288,4,48000000,288,4,48000000,0,173,0,55,8192,2051,15,20,290963.0,0.0,290963,290963,10608218.0,0.0,10608218,10608218
6,709,8,8,466,414,233,0,58.25,107.85804162350225,207,0,51.75,95.82238032645908,1241184.767277856,22566.99576868829,47.26666666666667,95.47585084846376,381,1,657,93.85714285714286,162.9196413076383,460,2,642,91.71428571428572,168.6591377954505,460,1,2,2,0,0,0,2,184,184,11283.497884344146,11283.497884344146,0,233,55.00000000000001,98.61575262941852,9725.066666666668,2,4,2,4,14,0,0,0,1.0,55.0,58.25,51.75,0,0,0,0,0,0,0,29,0,25,8192,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0
6,972,10,8,626,3064,313,0,62.6,131.97238768436037,1532,0,383.0,709.1781964257743,3796296.296296296,18518.51851851852,57.1764705882353,175.85904700004693,734,1,880,97.77777777777776,266.25071726559617,806,1,929,132.71428571428572,277.3828366990973,756,1,2,2,0,0,0,2,224,184,10288.0658436214,8230.45267489712,0,1532,205.00000000000003,493.1015883878171,243149.17647058825,2,4,2,4,16,0,0,0,0.8,205.0,62.6,383.0,0,0,0,0,0,0,0,34,0,170,8192,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0
